episode,episode_return,episode_length,action_correct,acted,premature_action,final_hidden_state,loss
1,-5.0500,2,0,1,1,SUCCESS_PENDING,
2,-5.0000,1,0,1,1,LOADING,
3,-5.0000,1,0,1,1,LOADING,
4,-5.0000,1,0,1,1,LOADING,
5,-5.0000,1,0,1,1,LOADING,
6,-5.3000,5,0,1,1,STALLED,
7,-5.0000,1,0,1,1,LOADING,
8,-5.0500,2,0,1,1,LOADING,
9,-5.0000,1,0,1,1,SUCCESS_PENDING,
10,-5.0000,1,0,1,1,SUCCESS_PENDING,
11,9.8000,3,1,1,0,READY,
12,9.9500,2,1,1,0,READY,
13,-5.0000,1,0,1,1,LOADING,
14,-5.0500,2,0,1,1,LOADING,
15,9.9500,2,1,1,0,READY,
16,-5.0000,1,0,1,1,LOADING,
17,-5.0000,1,0,1,1,LOADING,
18,-5.0000,1,0,1,1,LOADING,
19,-5.0000,1,0,1,1,LOADING,
20,-5.0000,1,0,1,1,LOADING,
21,9.9000,3,1,1,0,READY,
22,-5.1000,3,0,1,1,LOADING,
23,-5.0000,1,0,1,1,STALLED,
24,-5.1000,3,0,1,1,STALLED,
25,-5.0000,1,0,1,1,STALLED,
26,-5.1500,4,0,1,1,SUCCESS_PENDING,
27,-5.0000,1,0,1,1,SUCCESS_PENDING,
28,-5.0000,1,0,1,1,LOADING,
29,-5.0500,2,0,1,1,LOADING,
30,-5.1000,3,0,1,1,STALLED,
31,-5.0500,2,0,1,1,LOADING,
32,-5.2500,6,0,1,1,STALLED,
33,9.7000,5,1,1,0,READY,17.015034
34,-5.1000,3,0,1,1,STALLED,16.042649
35,-5.0000,1,0,1,1,LOADING,16.745432
36,9.8000,3,1,1,0,READY,15.874844
37,-5.0000,1,0,1,1,LOADING,18.796938
38,9.9000,3,1,1,0,READY,16.868970
39,-5.0000,1,0,1,1,LOADING,16.469593
40,-5.0000,1,0,1,1,LOADING,14.828390
41,-5.0000,1,0,1,1,LOADING,17.092222
42,-5.0000,1,0,1,1,STALLED,19.129635
43,9.9500,2,1,1,0,READY,18.590519
44,-5.0000,1,0,1,1,SUCCESS_PENDING,17.640610
45,-5.0000,1,0,1,1,STALLED,15.124560
46,-5.0500,2,0,1,1,LOADING,16.339997
47,-5.0500,2,0,1,1,SUCCESS_PENDING,16.406038
48,-5.0000,1,0,1,1,SUCCESS_PENDING,13.080173
49,-5.0000,1,0,1,1,LOADING,18.283609
50,-5.0000,1,0,1,1,LOADING,10.778864
51,-5.0500,2,0,1,1,STALLED,14.949096
52,-5.1500,4,0,1,1,STALLED,14.459951
53,-5.0000,1,0,1,1,STALLED,12.754485
54,-5.0000,1,0,1,1,STALLED,11.537655
55,-5.0500,2,0,1,1,LOADING,10.776099
56,-5.0500,2,0,1,1,STALLED,12.307158
57,-5.0500,2,0,1,1,LOADING,12.764924
58,9.9000,3,1,1,0,READY,10.093419
59,-5.0000,1,0,1,1,LOADING,13.607499
60,-5.0500,2,0,1,1,STALLED,9.856791
61,-5.0000,1,0,1,1,SUCCESS_PENDING,13.725542
62,9.7500,6,1,1,0,READY,11.079153
63,9.9000,3,1,1,0,READY,10.489738
64,9.4500,6,1,1,0,READY,12.333738
65,-5.0500,2,0,1,1,SUCCESS_PENDING,10.009283
66,-5.4000,5,0,1,1,SUCCESS_PENDING,9.921501
67,9.9500,2,1,1,0,READY,11.319577
68,-5.0000,1,0,1,1,LOADING,8.195628
69,-5.1000,3,0,1,1,STALLED,10.099207
70,-5.0000,1,0,1,1,LOADING,8.533037
71,-5.0000,1,0,1,1,LOADING,6.963228
72,-5.2000,5,0,1,1,LOADING,10.148592
73,-5.0000,1,0,1,1,LOADING,9.829748
74,9.7000,5,1,1,0,READY,8.445613
75,-5.0000,1,0,1,1,STALLED,12.752221
76,-5.0000,1,0,1,1,LOADING,11.493237
77,-5.0500,2,0,1,1,SUCCESS_PENDING,7.386000
78,9.9000,3,1,1,0,READY,10.527546
79,-5.0500,2,0,1,1,LOADING,9.883657
80,9.9500,2,1,1,0,READY,6.696961
81,-5.1000,3,0,1,1,LOADING,9.038834
82,9.9500,2,1,1,0,READY,10.711936
83,-5.1000,3,0,1,1,LOADING,13.057172
84,-5.0000,1,0,1,1,LOADING,10.337623
85,-5.1500,4,0,1,1,SUCCESS_PENDING,7.419294
86,-5.0000,1,0,1,1,LOADING,9.122721
