episode,episode_return,episode_length,action_correct,acted,premature_action,final_hidden_state,loss
1,-5.0000,1,0,1,1,LOADING,
2,-5.0000,1,0,1,1,LOADING,
3,9.9500,2,1,1,0,READY,
4,-5.0000,1,0,1,1,LOADING,
5,-5.0000,1,0,1,1,LOADING,
6,-5.0500,2,0,1,1,SUCCESS_PENDING,
7,-5.0500,2,0,1,1,STALLED,
8,-5.1000,3,0,1,1,STALLED,
9,-5.0500,2,0,1,1,STALLED,
10,9.7500,4,1,1,0,READY,
11,-5.0000,1,0,1,1,LOADING,
12,-5.0500,2,0,1,1,STALLED,
13,-5.1000,3,0,1,1,LOADING,
14,-5.0000,1,0,1,1,LOADING,
15,9.7500,6,1,1,0,READY,
16,9.9500,2,1,1,0,READY,
17,-5.0000,1,0,1,1,LOADING,
18,-5.0000,1,0,1,1,LOADING,
19,-5.0000,1,0,1,1,LOADING,
20,-5.0000,1,0,1,1,LOADING,
21,-5.0500,2,0,1,1,SUCCESS_PENDING,
22,-5.0500,2,0,1,1,LOADING,
23,-5.0500,2,0,1,1,LOADING,
24,-5.0000,1,0,1,1,LOADING,
25,-5.0500,2,0,1,1,STALLED,
26,9.9500,2,1,1,0,READY,
27,-5.0000,1,0,1,1,LOADING,
28,9.8000,3,1,1,0,READY,
29,9.9000,3,1,1,0,READY,
30,-5.0000,1,0,1,1,LOADING,
31,-5.0000,1,0,1,1,LOADING,
32,-5.0000,1,0,1,1,LOADING,
33,-5.1000,3,0,1,1,STALLED,
34,-5.0500,2,0,1,1,LOADING,21.446165
35,-5.1500,4,0,1,1,STALLED,20.556993
36,-5.0000,1,0,1,1,SUCCESS_PENDING,20.670710
37,-5.0000,1,0,1,1,LOADING,21.344456
38,-5.0000,1,0,1,1,LOADING,17.769327
39,-5.0000,1,0,1,1,LOADING,18.860022
40,-5.0000,1,0,1,1,STALLED,18.740322
41,-5.0000,1,0,1,1,LOADING,18.327475
42,9.9500,2,1,1,0,READY,20.780974
43,9.9000,3,1,1,0,READY,19.725081
44,-5.0500,2,0,1,1,LOADING,21.592976
45,-5.0000,1,0,1,1,LOADING,23.017757
46,-5.0000,1,0,1,1,LOADING,18.732258
47,-5.0500,2,0,1,1,LOADING,21.669305
48,9.9500,2,1,1,0,READY,20.284062
49,-5.0000,1,0,1,1,LOADING,20.299809
50,-5.0500,2,0,1,1,LOADING,20.975406
51,-5.0000,1,0,1,1,STALLED,16.169483
52,-5.0500,2,0,1,1,LOADING,18.645898
53,-5.1000,3,0,1,1,STALLED,18.569112
54,9.6500,4,1,1,0,READY,17.576977
55,-5.0000,1,0,1,1,STALLED,16.592619
56,-5.0500,2,0,1,1,STALLED,16.797843
57,-5.1500,4,0,1,1,LOADING,15.159116
58,-5.0000,1,0,1,1,LOADING,14.609554
59,-5.0000,1,0,1,1,LOADING,18.054085
60,9.9000,3,1,1,0,READY,14.537339
61,-5.0000,1,0,1,1,LOADING,14.779609
62,-5.0500,2,0,1,1,SUCCESS_PENDING,13.380039
63,-5.0000,1,0,1,1,LOADING,14.554190
64,-5.0000,1,0,1,1,LOADING,13.711237
65,-5.0000,1,0,1,1,LOADING,15.492935
66,9.7000,5,1,1,0,READY,14.529581
67,-5.0000,1,0,1,1,SUCCESS_PENDING,14.594695
68,-5.0500,2,0,1,1,LOADING,13.438692
69,-5.0000,1,0,1,1,STALLED,9.774162
70,-5.0500,2,0,1,1,STALLED,12.218613
71,-5.0000,1,0,1,1,LOADING,18.558022
72,-5.0000,1,0,1,1,LOADING,12.940244
73,-5.0000,1,0,1,1,SUCCESS_PENDING,11.631328
74,-5.0000,1,0,1,1,STALLED,11.483836
75,-5.1000,3,0,1,1,STALLED,8.369745
76,-5.0500,2,0,1,1,STALLED,8.927537
77,-5.1000,3,0,1,1,SUCCESS_PENDING,6.310392
78,-5.0500,2,0,1,1,STALLED,5.722067
79,-5.0500,2,0,1,1,STALLED,5.543519
80,-5.0500,2,0,1,1,LOADING,7.963964
81,-5.1000,3,0,1,1,LOADING,6.158554
82,-5.0000,1,0,1,1,LOADING,8.015228
83,-5.0500,2,0,1,1,LOADING,7.896618
84,-5.0000,1,0,1,1,LOADING,4.712245
85,9.8000,3,1,1,0,READY,5.791168
86,9.9500,2,1,1,0,READY,5.242476
87,9.9000,3,1,1,0,READY,6.435573
88,-5.0500,2,0,1,1,SUCCESS_PENDING,5.768800
89,-5.0000,1,0,1,1,LOADING,8.074941
90,-5.1000,3,0,1,1,LOADING,7.384906
91,-5.0500,2,0,1,1,SUCCESS_PENDING,6.564270
92,-5.2500,6,0,1,1,SUCCESS_PENDING,6.604008
93,-5.0500,2,0,1,1,SUCCESS_PENDING,7.082928
94,-5.0500,2,0,1,1,STALLED,7.245564
95,-5.0500,2,0,1,1,LOADING,6.807155
