episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,64.3100,13,5,0,5,1,1.0000,4,4,,
2,-1.8600,42,5,0,5,1,1.0000,17,4,,
3,54.2200,16,5,0,5,1,1.0000,6,4,64.490191,
4,-16.7600,42,5,0,5,1,1.0000,19,5,64.403978,
5,64.0800,14,5,0,5,1,1.0000,4,4,61.618951,
6,-1.7400,38,5,0,5,1,1.0000,16,5,62.006813,
7,53.9000,20,5,0,5,1,1.0000,6,4,58.748710,
8,58.8700,21,5,0,5,1,1.0000,8,1,60.862535,
9,44.0300,19,5,0,5,1,1.0000,9,3,59.701692,
10,9.0800,24,4,1,5,1,0.8000,13,1,57.123157,
11,54.4400,12,5,0,5,1,1.0000,6,4,49.322866,
12,64.2200,16,5,0,5,1,1.0000,6,2,66.884704,
13,13.3700,31,3,2,5,1,0.6000,6,2,50.398888,273.303818
14,-27.5600,42,4,1,5,1,0.8000,19,3,41.666019,383.960748
15,38.4300,29,5,0,5,1,1.0000,10,3,40.107545,358.439215
16,69.5400,12,5,0,5,1,1.0000,5,2,41.300216,346.416425
17,54.4800,14,5,0,5,1,1.0000,7,3,36.896958,343.231491
18,18.7700,31,5,0,5,1,1.0000,13,4,35.441215,333.981210
19,8.5400,32,5,0,5,1,1.0000,16,3,37.197014,370.869043
20,58.8300,19,5,0,5,1,1.0000,7,2,67.557631,304.277621
21,24.0400,22,4,1,5,1,0.8000,8,3,57.630568,380.515417
22,19.1800,24,4,1,5,1,0.8000,9,3,54.103948,303.849271
23,64.2800,14,5,0,5,1,1.0000,4,4,55.103530,320.284052
24,64.5100,13,5,0,5,1,1.0000,6,2,50.803286,297.195312
25,19.1400,22,5,0,5,1,1.0000,13,4,51.990964,307.554541
26,18.6900,27,4,1,5,1,0.8000,11,1,51.144210,310.671439
27,59.5700,11,5,0,5,1,1.0000,6,3,52.690903,315.821408
28,34.3900,17,4,1,5,1,0.8000,7,2,55.740705,311.044012
29,-1.7300,31,4,1,5,1,0.8000,12,4,54.849984,267.457486
30,79.6300,9,5,0,5,1,1.0000,3,2,60.019597,255.178699
31,69.6400,12,5,0,5,1,1.0000,4,3,64.435332,273.942581
32,24.0400,22,4,1,5,1,0.8000,9,2,56.173094,363.357410
33,57.8400,32,5,0,5,1,1.0000,5,4,54.663486,236.791257
34,63.4400,22,5,0,5,1,1.0000,6,2,54.032254,351.597748
35,68.7900,17,5,0,5,1,1.0000,4,3,48.703805,284.257880
