episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,-0.9100,27,4,1,5,1,0.8000,12,4,,
2,69.2100,13,5,0,5,1,1.0000,4,3,,
3,-31.8300,41,3,2,5,1,0.6000,16,1,45.556777,
4,59.3500,15,5,0,5,1,1.0000,7,2,41.401054,
5,69.4400,12,5,0,5,1,1.0000,4,3,56.440313,
6,34.0500,25,5,0,5,1,1.0000,11,3,55.145032,
7,-6.5900,43,5,0,5,1,1.0000,18,4,52.252133,
8,23.0700,41,5,0,5,1,1.0000,13,3,42.963740,
9,59.3200,16,5,0,5,1,1.0000,7,2,42.336275,
10,69.3800,14,5,0,5,1,1.0000,4,3,42.504942,
11,34.0300,19,4,1,5,1,0.8000,6,3,46.242522,
12,-16.2500,35,3,2,5,1,0.6000,13,1,52.951776,
13,-122.1500,65,4,1,5,1,0.8000,38,2,40.295915,417.939148
14,7.9200,36,5,0,5,1,1.0000,13,6,37.728478,406.410413
15,73.9800,14,5,0,5,1,1.0000,3,3,32.570770,389.754419
16,59.1200,16,5,0,5,1,1.0000,6,3,33.709779,358.382086
17,69.4700,11,5,0,5,1,1.0000,3,4,32.566775,376.483374
18,49.0600,18,5,0,5,1,1.0000,8,3,38.150711,341.642981
19,58.7900,17,5,0,5,1,1.0000,6,3,44.065034,348.177734
20,28.8400,22,4,1,5,1,0.8000,8,2,56.438272,358.416663
21,43.2600,28,5,0,5,1,1.0000,8,4,47.662822,369.312390
22,64.2200,16,5,0,5,1,1.0000,5,3,48.807029,352.767548
23,18.6500,35,5,0,5,1,1.0000,16,1,45.229918,328.793921
24,-71.9000,50,3,2,5,1,0.6000,22,3,43.760981,336.226086
25,-6.6800,36,4,1,5,1,0.8000,15,2,39.699238,389.823029
26,64.4500,15,5,0,5,1,1.0000,6,2,51.748337,338.203589
27,59.3900,17,5,0,5,1,1.0000,7,2,52.576362,354.561725
28,28.8500,25,4,1,5,1,0.8000,9,1,48.783084,364.057990
29,53.8700,21,5,0,5,1,1.0000,5,5,42.370882,316.752017
30,13.9600,28,5,0,5,1,1.0000,15,3,48.098354,330.103574
31,44.4200,16,4,1,5,1,0.8000,4,3,49.867055,290.585608
32,8.7100,33,5,0,5,1,1.0000,15,4,47.846560,311.995181
33,18.7400,32,5,0,5,1,1.0000,14,3,48.166974,270.869873
34,-11.4000,40,4,1,5,1,0.8000,16,2,52.623286,259.688815
35,59.0000,20,5,0,5,1,1.0000,6,3,52.510922,233.974701
36,-1.6800,36,4,1,5,1,0.8000,14,2,49.770530,275.468127
37,48.8600,28,5,0,5,1,1.0000,8,3,50.256063,296.863733
38,44.2600,18,4,1,5,1,0.8000,5,2,53.375398,254.663013
39,69.2600,18,5,0,5,1,1.0000,5,2,51.738268,259.514740
40,-1.8700,49,5,0,5,1,1.0000,17,4,46.469271,244.753992
41,74.3700,11,5,0,5,1,1.0000,3,3,49.577596,255.906967
42,38.7900,27,5,0,5,1,1.0000,11,2,52.975559,251.116492
43,54.3500,15,5,0,5,1,1.0000,7,3,50.308304,216.116837
44,38.8400,22,5,0,5,1,1.0000,10,3,49.511174,250.204651
45,44.1300,19,4,1,5,1,0.8000,4,3,52.446773,232.760495
46,29.0300,19,4,1,5,1,0.8000,6,4,50.778472,234.609976
47,74.5300,9,5,0,5,1,1.0000,3,3,47.304536,221.373849
48,69.5300,9,5,0,5,1,1.0000,3,4,56.899924,193.398239
49,49.2700,21,5,0,5,1,1.0000,8,3,56.289541,206.553180
50,8.5400,32,4,1,5,1,0.8000,11,3,53.580116,220.678745
51,58.5400,22,5,0,5,1,1.0000,5,4,51.824364,203.546661
52,-20.8800,26,4,1,5,1,0.8000,16,4,52.249704,204.929991
53,64.2800,14,5,0,5,1,1.0000,5,3,61.004950,187.986020
54,34.1700,21,4,1,5,1,0.8000,9,0,59.889599,186.849155
55,69.5200,16,5,0,5,1,1.0000,4,3,57.463416,174.554550
56,64.0800,14,5,0,5,1,1.0000,5,3,60.092257,180.324937
57,49.5200,16,5,0,5,1,1.0000,7,4,57.855539,164.671518
58,39.2100,23,5,0,5,1,1.0000,11,2,56.837828,213.981223
59,64.1200,16,5,0,5,1,1.0000,5,3,52.939938,202.322610
60,14.2100,23,4,1,5,1,0.8000,11,2,57.434974,166.074741
61,39.1300,29,5,0,5,1,1.0000,11,2,54.948118,132.609834
62,43.8100,23,5,0,5,1,1.0000,9,3,54.192829,146.715660
63,-7.8900,43,4,1,5,1,0.8000,15,3,51.979477,163.014952
64,18.8100,33,4,1,5,1,0.8000,10,2,51.432273,109.728752
65,74.3100,13,5,0,5,1,1.0000,4,2,49.919611,162.467580
66,54.3800,14,5,0,5,1,1.0000,7,3,52.732913,166.684097
67,19.1800,24,4,1,5,1,0.8000,11,1,54.658438,149.882914
68,24.0400,22,4,1,5,1,0.8000,9,2,50.775087,112.673738
69,33.9200,26,5,0,5,1,1.0000,11,3,49.481930,119.830473
70,-47.3700,49,3,2,5,1,0.6000,19,1,50.054579,87.802180
71,43.8500,25,5,0,5,1,1.0000,9,3,48.778831,110.438983
72,8.4100,43,5,0,5,1,1.0000,16,3,48.417871,154.899323
