episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,29.3000,20,4,1,5,1,0.8000,8,2,,
2,44.0100,23,5,0,5,1,1.0000,8,4,,
3,54.2600,18,5,0,5,1,1.0000,9,1,,
4,-71.7600,52,4,1,5,1,0.8000,28,2,64.196804,
5,64.3800,14,5,0,5,1,1.0000,5,3,63.299089,
6,68.9800,14,5,0,5,1,1.0000,3,4,63.647835,
7,69.1200,16,5,0,5,1,1.0000,3,4,62.515877,
8,64.7000,10,5,0,5,1,1.0000,4,4,66.131734,
9,-1.7400,38,4,1,5,1,0.8000,14,2,67.123108,
10,59.4800,14,5,0,5,1,1.0000,7,2,60.179432,
11,59.3800,14,5,0,5,1,1.0000,4,5,64.670147,
12,64.4400,12,5,0,5,1,1.0000,4,4,64.165598,
13,-16.7500,35,4,1,5,1,0.8000,14,5,64.750056,470.515793
14,43.9300,19,4,1,5,1,0.8000,5,2,63.834773,449.983374
15,34.0200,26,4,1,5,1,0.8000,7,2,50.215746,463.098010
16,28.8700,21,4,1,5,1,0.8000,8,2,45.036961,487.852063
17,23.3000,30,4,1,5,1,0.8000,9,2,39.678335,436.127356
18,49.2900,17,5,0,5,1,1.0000,8,3,36.050816,420.905286
19,44.2600,18,5,0,5,1,1.0000,9,3,38.675445,403.211188
20,59.5700,11,5,0,5,1,1.0000,5,4,39.640497,414.883569
21,73.9900,17,5,0,5,1,1.0000,4,2,37.491627,354.565457
22,-63.2600,52,4,1,5,1,0.8000,26,3,44.902797,529.700372
23,48.8700,21,5,0,5,1,1.0000,8,3,49.789850,494.954773
24,44.1000,20,5,0,5,1,1.0000,9,3,47.271015,474.949176
25,59.0200,16,5,0,5,1,1.0000,6,3,43.446480,403.579456
26,39.1000,20,5,0,5,1,1.0000,7,6,44.076667,407.905688
27,8.9900,27,5,0,5,1,1.0000,16,3,44.721576,364.110852
28,74.2400,12,5,0,5,1,1.0000,3,3,42.403270,432.423993
29,13.5000,30,5,0,5,1,1.0000,14,4,47.020516,311.335797
30,39.0100,23,5,0,5,1,1.0000,10,3,42.329186,386.202094
31,69.1800,14,5,0,5,1,1.0000,4,3,50.914358,472.780176
32,54.6100,13,5,0,5,1,1.0000,8,2,71.861798,405.769244
33,59.0300,19,5,0,5,1,1.0000,6,3,57.166912,376.647302
34,8.5300,39,3,2,5,1,0.6000,8,1,52.038580,388.065686
35,8.4900,37,4,1,5,1,0.8000,12,2,52.988756,362.337732
36,64.0600,18,5,0,5,1,1.0000,6,2,51.423138,397.697302
37,64.3500,15,5,0,5,1,1.0000,5,3,57.205713,384.872690
38,58.7100,23,5,0,5,1,1.0000,6,3,51.274427,290.001572
39,59.0900,17,5,0,5,1,1.0000,4,5,54.654361,349.615076
40,19.4000,20,4,1,5,1,0.8000,10,2,52.515777,317.253201
41,-7.0600,42,4,1,5,1,0.8000,13,4,67.696581,411.193530
42,8.6000,30,4,1,5,1,0.8000,10,4,58.526381,334.800232
43,59.3800,14,5,0,5,1,1.0000,6,3,57.889140,415.074878
44,13.0100,43,5,0,5,1,1.0000,16,2,59.350619,374.580460
45,64.5000,10,5,0,5,1,1.0000,4,4,59.358968,353.394556
46,-21.3100,37,4,1,5,1,0.8000,18,2,58.067476,393.418317
47,-13.2500,55,4,1,5,1,0.8000,18,1,63.728105,367.721240
48,19.0200,26,5,0,5,1,1.0000,12,5,57.741038,359.337064
49,-6.0800,26,3,2,5,1,0.6000,9,3,60.350886,353.858737
50,18.2900,37,5,0,5,1,1.0000,13,4,58.309375,379.187231
51,3.6000,30,4,1,5,1,0.8000,14,1,57.865718,306.584650
52,28.3700,31,5,0,5,1,1.0000,12,3,57.979451,390.986948
53,-0.9500,25,4,1,5,1,0.8000,12,4,57.850802,324.267194
54,59.3700,21,5,0,5,1,1.0000,6,3,55.838291,331.399286
55,39.1700,21,5,0,5,1,1.0000,10,3,62.992209,250.204614
56,-62.6900,53,4,1,5,1,0.8000,27,2,58.558340,319.289661
57,73.7900,17,5,0,5,1,1.0000,3,3,54.242621,451.976300
58,23.9400,22,4,1,5,1,0.8000,7,4,56.027294,313.157870
59,14.1700,21,4,1,5,1,0.8000,10,3,53.659444,304.889865
60,9.1500,25,4,1,5,1,0.8000,12,2,55.215436,285.177722
61,69.4400,12,5,0,5,1,1.0000,4,3,53.940456,357.781873
62,48.7900,27,5,0,5,1,1.0000,9,2,57.709675,271.621295
63,34.1400,22,5,0,5,1,1.0000,11,3,61.129788,395.479886
64,13.7200,26,4,1,5,1,0.8000,10,3,53.086819,364.205508
65,-56.3100,37,2,3,5,1,0.4000,16,1,56.030871,327.346823
66,33.6600,28,5,0,5,1,1.0000,11,3,53.378836,299.196964
67,-17.0400,48,4,1,5,1,0.8000,15,4,53.848378,289.322760
68,53.5800,24,5,0,5,1,1.0000,8,2,56.746404,264.382196
69,34.3300,19,4,1,5,1,0.8000,7,2,54.530537,235.441699
70,38.8900,27,5,0,5,1,1.0000,8,5,49.229083,295.270502
71,-47.0900,53,4,1,5,1,0.8000,23,2,50.051255,185.230075
72,7.2600,38,4,1,5,1,0.8000,12,3,53.116803,290.192136
73,64.2500,15,5,0,5,1,1.0000,4,4,49.569287,262.446408
74,-1.1200,34,4,1,5,1,0.8000,13,3,48.879507,346.213739
75,8.5600,38,5,0,5,1,1.0000,15,4,50.650369,290.279254
76,-33.0100,77,5,0,5,1,1.0000,25,2,48.738644,294.342175
77,28.8200,26,5,0,5,1,1.0000,11,4,49.379506,312.159506
78,43.4600,28,4,1,5,1,0.8000,5,2,49.929754,298.783646
79,53.8700,21,5,0,5,1,1.0000,7,3,48.300053,253.929047
80,39.0100,23,5,0,5,1,1.0000,10,3,49.330190,290.288177
81,53.5200,26,5,0,5,1,1.0000,7,3,48.744859,248.387997
82,54.2200,16,5,0,5,1,1.0000,6,4,51.178364,202.353003
83,-6.8200,34,3,2,5,1,0.6000,10,2,49.422851,312.374899
84,-16.5600,42,5,0,5,1,1.0000,21,3,47.779447,243.588712
85,64.4300,19,5,0,5,1,1.0000,6,2,48.503496,264.922864
86,54.2800,14,5,0,5,1,1.0000,7,3,44.553346,203.903987
87,24.1100,23,4,1,5,1,0.8000,9,2,50.470934,226.422296
88,74.4700,11,5,0,5,1,1.0000,3,3,52.177451,195.005035
89,78.8500,15,5,0,5,1,1.0000,2,3,50.806084,309.897598
90,48.8100,23,5,0,5,1,1.0000,10,1,46.711872,291.954413
91,59.3200,16,5,0,5,1,1.0000,5,4,45.911418,266.720116
92,38.4700,21,4,1,5,1,0.8000,5,3,42.611415,191.939249
93,-22.0800,46,4,1,5,1,0.8000,17,3,42.467871,240.123679
94,54.0900,17,5,0,5,1,1.0000,7,3,49.112479,184.242986
95,28.9800,24,4,1,5,1,0.8000,7,3,45.362915,253.418533
96,54.0000,20,5,0,5,1,1.0000,6,4,39.633930,271.346701
97,58.2600,28,5,0,5,1,1.0000,6,3,45.436303,170.537421
98,63.8600,18,5,0,5,1,1.0000,6,2,44.351574,160.901195
99,44.1900,17,4,1,5,1,0.8000,6,1,40.522551,167.711166
100,-11.4100,37,4,1,5,1,0.8000,14,4,42.784536,145.642458
101,23.5300,29,4,1,5,1,0.8000,9,2,40.089902,197.983537
102,64.2800,14,5,0,5,1,1.0000,5,3,42.381062,161.274457
103,53.6000,20,5,0,5,1,1.0000,6,4,39.925052,99.912611
104,48.8400,22,5,0,5,1,1.0000,8,3,40.555868,215.338257
105,-16.3600,32,3,2,5,1,0.6000,13,1,41.507735,137.179781
106,3.6800,34,5,0,5,1,1.0000,17,3,38.735091,183.458629
107,-41.6900,43,3,2,5,1,0.6000,16,3,40.246570,208.319121
108,79.1400,12,5,0,5,1,1.0000,3,2,36.214717,269.164386
109,73.4000,20,5,0,5,1,1.0000,2,4,39.616681,116.369911
110,69.3100,13,5,0,5,1,1.0000,4,3,41.743835,93.142494
111,27.8000,50,5,0,5,1,1.0000,13,2,37.740114,124.711435
112,64.3300,19,5,0,5,1,1.0000,6,2,41.636042,119.472800
113,13.7500,25,4,1,5,1,0.8000,10,3,38.879225,129.823024
114,68.9500,15,5,0,5,1,1.0000,4,3,40.407155,160.426128
115,49.2900,17,5,0,5,1,1.0000,8,3,39.716843,119.970367
116,62.8800,24,5,0,5,1,1.0000,4,4,42.018294,204.104724
117,44.0900,17,5,0,5,1,1.0000,8,4,41.713022,155.052765
118,73.8200,16,5,0,5,1,1.0000,4,2,44.830090,109.981210
119,64.3700,11,5,0,5,1,1.0000,4,4,43.990585,209.807237
120,18.1700,41,5,0,5,1,1.0000,15,2,41.133920,133.964183
121,39.3600,18,5,0,5,1,1.0000,10,3,41.638157,168.801511
122,69.3100,13,5,0,5,1,1.0000,4,3,38.135034,106.897499
123,63.6000,20,5,0,5,1,1.0000,5,3,42.365034,138.696703
