episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,13.8800,24,4,1,5,1,0.8000,10,3,,
2,-12.4300,41,4,1,5,1,0.8000,14,4,,
3,23.9500,25,5,0,5,1,1.0000,11,5,48.026714,
4,33.8200,26,5,0,5,1,1.0000,10,4,55.311779,
5,43.7800,24,5,0,5,1,1.0000,9,3,55.318930,
6,8.3700,31,4,1,5,1,0.8000,10,4,52.421310,
7,38.4500,25,5,0,5,1,1.0000,8,5,42.424917,
8,8.3700,41,5,0,5,1,1.0000,15,4,41.886260,
9,58.9100,23,5,0,5,1,1.0000,6,3,34.904050,
10,64.4900,17,5,0,5,1,1.0000,7,1,48.675105,
11,18.8000,30,5,0,5,1,1.0000,13,4,46.086812,
12,-11.3300,31,4,1,5,1,0.8000,14,4,34.959609,
13,44.0100,23,5,0,5,1,1.0000,9,3,32.447409,344.275040
14,69.3700,11,5,0,5,1,1.0000,4,3,31.271579,329.902551
15,38.5500,25,5,0,5,1,1.0000,11,2,33.411912,327.324091
16,-11.7100,37,4,1,5,1,0.8000,15,3,29.029142,350.962976
17,69.7600,8,5,0,5,1,1.0000,4,3,22.004268,369.830414
18,59.6100,13,5,0,5,1,1.0000,6,3,26.719639,350.392468
19,74.5000,10,5,0,5,1,1.0000,4,2,30.457130,321.304938
20,63.9200,16,5,0,5,1,1.0000,5,3,63.642552,331.273572
21,18.1700,31,4,1,5,1,0.8000,10,2,55.267194,327.337558
22,8.7200,36,5,0,5,1,1.0000,15,4,49.116041,377.657104
23,33.7500,25,4,1,5,1,0.8000,6,3,46.063808,351.820825
24,49.0000,20,5,0,5,1,1.0000,7,4,45.082142,315.353833
25,64.3900,17,5,0,5,1,1.0000,7,1,46.939715,328.205554
26,49.2600,18,5,0,5,1,1.0000,8,3,45.121893,324.982437
27,74.0200,16,5,0,5,1,1.0000,4,2,47.878573,312.735831
28,59.1600,18,5,0,5,1,1.0000,6,3,45.268735,320.628085
29,-11.4300,41,5,0,5,1,1.0000,19,4,59.311212,369.434784
30,68.5900,17,5,0,5,1,1.0000,4,3,54.063270,297.974539
31,53.9000,20,5,0,5,1,1.0000,7,3,55.693702,312.868445
32,19.4000,20,4,1,5,1,0.8000,11,1,48.637341,320.599078
33,69.3100,13,5,0,5,1,1.0000,5,2,53.529650,315.089227
34,-36.6700,49,5,0,5,1,1.0000,26,2,51.759744,317.465662
35,-1.9500,35,4,1,5,1,0.8000,13,3,49.822159,368.578400
36,44.1000,20,5,0,5,1,1.0000,9,3,61.554521,322.234210
37,8.5200,36,4,1,5,1,0.8000,12,2,66.134896,301.311526
38,34.3000,20,4,1,5,1,0.8000,7,2,67.806241,280.464789
39,59.2600,18,5,0,5,1,1.0000,6,3,60.693098,315.258484
40,28.6900,27,4,1,5,1,0.8000,7,3,62.590718,308.224811
41,59.4800,14,5,0,5,1,1.0000,5,4,63.186240,292.539993
42,64.1400,22,5,0,5,1,1.0000,6,2,65.015363,278.354465
43,48.5400,22,4,1,5,1,0.8000,4,2,63.619110,296.971240
44,23.3900,37,5,0,5,1,1.0000,13,3,62.441549,276.548029
45,23.5900,27,5,0,5,1,1.0000,11,5,69.871311,304.012103
46,-16.7300,41,4,1,5,1,0.8000,15,4,62.901463,300.291583
47,8.7400,32,5,0,5,1,1.0000,18,1,64.437679,281.402332
48,-77.1200,44,2,3,5,1,0.4000,18,3,60.430864,355.682092
49,49.4200,16,5,0,5,1,1.0000,7,4,60.716474,309.117563
50,-7.8800,46,4,1,5,1,0.8000,14,4,63.243851,273.052957
51,54.7000,10,5,0,5,1,1.0000,6,4,59.823753,249.880545
52,58.9900,17,5,0,5,1,1.0000,7,2,57.286847,305.620868
53,54.1500,15,5,0,5,1,1.0000,5,5,57.494879,258.836414
54,43.9300,29,5,0,5,1,1.0000,8,4,57.598335,244.273593
55,-11.3100,37,5,0,5,1,1.0000,20,3,54.366086,245.736908
56,23.8300,29,5,0,5,1,1.0000,13,3,52.543347,241.750497
57,34.2300,19,4,1,5,1,0.8000,8,1,53.732332,232.038272
58,74.6600,8,5,0,5,1,1.0000,3,3,55.271121,287.407098
59,33.3400,32,5,0,5,1,1.0000,11,3,56.204305,226.735397
60,39.0400,22,4,1,5,1,0.8000,5,3,54.242744,197.134747
61,63.9700,21,5,0,5,1,1.0000,4,4,48.064527,204.315068
62,69.2600,18,5,0,5,1,1.0000,6,1,53.100314,197.247173
63,43.6700,31,5,0,5,1,1.0000,9,3,49.415935,185.804654
64,64.0200,16,5,0,5,1,1.0000,6,2,51.401552,200.943704
65,24.1300,19,4,1,5,1,0.8000,7,4,55.038698,238.167023
66,38.7200,26,5,0,5,1,1.0000,10,3,47.881371,260.136382
67,69.4100,13,5,0,5,1,1.0000,4,3,47.705024,195.839047
68,58.8000,20,5,0,5,1,1.0000,6,3,50.013807,189.338972
69,34.2700,21,5,0,5,1,1.0000,10,4,53.120713,140.099765
70,63.7000,20,5,0,5,1,1.0000,4,4,46.243332,130.865108
71,74.4700,11,5,0,5,1,1.0000,3,3,48.224019,177.118390
72,29.0800,24,4,1,5,1,0.8000,10,0,46.726255,189.448587
73,69.3800,14,5,0,5,1,1.0000,3,4,54.457254,200.741568
74,69.3100,13,5,0,5,1,1.0000,4,3,48.416879,179.828699
75,28.4300,29,5,0,5,1,1.0000,10,5,48.365107,153.412160
76,-31.5100,37,3,2,5,1,0.6000,16,1,51.645382,127.676210
77,64.1800,14,5,0,5,1,1.0000,4,4,49.139654,202.879680
78,64.5700,11,5,0,5,1,1.0000,6,2,48.686825,134.853630
79,64.7000,10,5,0,5,1,1.0000,4,4,48.414001,133.224925
80,-11.8500,45,5,0,5,1,1.0000,19,4,51.131576,137.103448
81,74.4000,10,5,0,5,1,1.0000,2,4,47.413333,143.650174
82,18.7800,24,4,1,5,1,0.8000,9,3,46.717460,134.897649
83,9.0100,23,4,1,5,1,0.8000,10,4,47.948853,140.843390
84,-6.3000,30,4,1,5,1,0.8000,13,4,51.768833,81.142604
85,24.3200,16,4,1,5,1,0.8000,7,4,48.279421,141.463216
86,64.2600,18,5,0,5,1,1.0000,5,3,48.268598,143.549323
87,28.7600,28,5,0,5,1,1.0000,10,5,52.680882,151.133513
88,44.2700,21,5,0,5,1,1.0000,9,3,53.230548,133.065234
89,63.7600,18,5,0,5,1,1.0000,5,3,51.266277,174.798517
90,49.3900,17,5,0,5,1,1.0000,8,3,50.074112,152.462840
91,8.6600,28,3,2,5,1,0.6000,9,0,49.045898,147.433876
92,69.3100,13,5,0,5,1,1.0000,4,3,44.389324,110.000701
93,-78.1100,57,2,3,5,1,0.4000,20,2,47.895088,225.463947
94,24.2400,22,4,1,5,1,0.8000,8,3,45.963297,204.996799
95,8.7900,27,4,1,5,1,0.8000,11,3,44.501641,202.785599
96,69.1500,15,5,0,5,1,1.0000,3,4,43.366122,220.297931
97,39.0400,22,4,1,5,1,0.8000,6,2,47.978110,164.867290
98,48.2300,29,5,0,5,1,1.0000,9,2,45.020822,203.765627
99,28.7900,27,4,1,5,1,0.8000,6,4,44.966845,182.341612
